0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:27:19 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:27:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:27:30 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [19/Jun/2020:12:30:24 +0900] "GET /ClientTest/Ex12_tag.html HTTP/1.1" 200 2373
0:0:0:0:0:0:0:1 - - [19/Jun/2020:14:30:26 +0900] "GET /ClientTest/Ex13_image.html HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [19/Jun/2020:14:30:26 +0900] "GET /ClientTest/images/%EC%9C%A0%EC%B1%84%EA%BD%83%EB%B0%AD%EC%82%AC%EB%9E%8C.jpg HTTP/1.1" 200 61979
0:0:0:0:0:0:0:1 - - [19/Jun/2020:14:32:55 +0900] "GET /ClientTest/Ex13_image.html HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Jun/2020:14:32:55 +0900] "GET /ClientTest/images/cat01.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [19/Jun/2020:14:33:10 +0900] "GET /ClientTest/Ex13_image.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:14:33:10 +0900] "GET /ClientTest/images/cat01.jpg HTTP/1.1" 200 48296
0:0:0:0:0:0:0:1 - - [19/Jun/2020:14:34:43 +0900] "GET /ClientTest/Ex13_image.html HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [19/Jun/2020:14:34:43 +0900] "GET /ClientTest/images/cat01a.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [19/Jun/2020:14:35:03 +0900] "GET /ClientTest/Ex13_image.html HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [19/Jun/2020:14:40:37 +0900] "GET /ClientTest/Ex13_image.html HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [19/Jun/2020:14:40:37 +0900] "GET /ClientTest/images/dog01.jpg HTTP/1.1" 200 57206
0:0:0:0:0:0:0:1 - - [19/Jun/2020:14:40:50 +0900] "GET /ClientTest/Ex13_image.html HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [19/Jun/2020:14:41:47 +0900] "GET /ClientTest/Ex13_image.html HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [19/Jun/2020:14:43:20 +0900] "GET /ClientTest/Ex13_image.html HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [19/Jun/2020:14:43:40 +0900] "GET /ClientTest/Ex13_image.html HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [19/Jun/2020:14:44:10 +0900] "GET /ClientTest/Ex13_image.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [19/Jun/2020:14:47:10 +0900] "GET /ClientTest/Ex13_image.html HTTP/1.1" 200 1045
0:0:0:0:0:0:0:1 - - [19/Jun/2020:14:50:24 +0900] "GET /ClientTest/Ex13_image.html HTTP/1.1" 200 1125
0:0:0:0:0:0:0:1 - - [19/Jun/2020:14:51:15 +0900] "GET /ClientTest/Ex13_image.html HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [19/Jun/2020:15:17:21 +0900] "GET /ClientTest/Ex13_image.html HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [19/Jun/2020:15:20:42 +0900] "GET /ClientTest/Ex13_image.html HTTP/1.1" 200 1579
0:0:0:0:0:0:0:1 - - [19/Jun/2020:15:22:49 +0900] "GET /ClientTest/Ex13_image.html HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [19/Jun/2020:16:03:06 +0900] "GET /ClientTest/Ex14_table.html HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [19/Jun/2020:16:04:25 +0900] "GET /ClientTest/Ex14_table.html HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [19/Jun/2020:16:05:32 +0900] "GET /ClientTest/Ex14_table.html HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [19/Jun/2020:16:08:11 +0900] "GET /ClientTest/Ex14_table.html HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [19/Jun/2020:16:08:19 +0900] "GET /ClientTest/Ex14_table.html HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [19/Jun/2020:16:12:40 +0900] "GET /ClientTest/Ex14_table.html HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [19/Jun/2020:16:14:50 +0900] "GET /ClientTest/Ex14_table.html HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [19/Jun/2020:16:15:00 +0900] "GET /ClientTest/Ex14_table.html HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [19/Jun/2020:16:15:01 +0900] "GET /ClientTest/Ex14_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:16:15:19 +0900] "GET /ClientTest/Ex14_table.html HTTP/1.1" 200 736
0:0:0:0:0:0:0:1 - - [19/Jun/2020:16:15:30 +0900] "GET /ClientTest/Ex14_table.html HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [19/Jun/2020:16:18:09 +0900] "GET /ClientTest/Ex14_table.html HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [19/Jun/2020:16:18:46 +0900] "GET /ClientTest/Ex14_table.html HTTP/1.1" 304 -
